timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1755312302292,4023,HTTP Request (Service-Feedback-1),200,OK,Thread Group 1-1,text,true,,3177,980,5,5,https://mow.azurewebsites.net/service-feedback,4023,0,0
1755312303148,3168,HTTP Request (Service-Feedback-1),200,OK,Thread Group 1-5,text,true,,3177,980,5,5,https://mow.azurewebsites.net/service-feedback,3168,0,0
1755312302465,3860,HTTP Request (Service-Feedback-1),200,OK,Thread Group 1-2,text,true,,3177,980,5,5,https://mow.azurewebsites.net/service-feedback,3860,0,0
1755312302816,3511,HTTP Request (Service-Feedback-1),200,OK,Thread Group 1-3,text,true,,3177,980,5,5,https://mow.azurewebsites.net/service-feedback,3511,0,0
1755312303035,3293,HTTP Request (Service-Feedback-1),200,OK,Thread Group 1-4,text,true,,3177,980,5,5,https://mow.azurewebsites.net/service-feedback,3293,0,0
1755312306315,14,HTTP Request (Service-Feedback-2),200,OK,Thread Group 1-1,text,true,,11330,813,5,5,https://mow.azurewebsites.net/css/jquery-ui.css,14,0,0
1755312306316,14,HTTP Request (Service-Feedback-2),200,OK,Thread Group 1-5,text,true,,11330,813,5,5,https://mow.azurewebsites.net/css/jquery-ui.css,13,0,0
1755312306325,8,HTTP Request (Service-Feedback-2),200,OK,Thread Group 1-2,text,true,,11330,813,5,5,https://mow.azurewebsites.net/css/jquery-ui.css,7,0,0
1755312306329,5,HTTP Request (Service-Feedback-3),200,OK,Thread Group 1-1,text,true,,1483,810,5,5,https://mow.azurewebsites.net/css/styles.css,5,0,0
1755312306327,7,HTTP Request (Service-Feedback-2),200,OK,Thread Group 1-3,text,true,,11330,813,5,5,https://mow.azurewebsites.net/css/jquery-ui.css,7,0,0
1755312306328,7,HTTP Request (Service-Feedback-2),200,OK,Thread Group 1-4,text,true,,11323,813,5,5,https://mow.azurewebsites.net/css/jquery-ui.css,6,0,0
1755312306333,9,HTTP Request (Service-Feedback-3),200,OK,Thread Group 1-2,text,true,,1483,810,5,5,https://mow.azurewebsites.net/css/styles.css,9,0,0
1755312306330,12,HTTP Request (Service-Feedback-3),200,OK,Thread Group 1-5,text,true,,1483,810,5,5,https://mow.azurewebsites.net/css/styles.css,12,0,0
1755312306335,12,HTTP Request (Service-Feedback-3),200,OK,Thread Group 1-3,text,true,,1483,810,5,5,https://mow.azurewebsites.net/css/styles.css,12,0,0
1755312306335,12,HTTP Request (Service-Feedback-3),200,OK,Thread Group 1-4,text,true,,1483,810,5,5,https://mow.azurewebsites.net/css/styles.css,12,0,0
1755312306335,12,HTTP Request (Service-Feedback-4),200,OK,Thread Group 1-1,bin,true,,7236,861,5,5,https://mow.azurewebsites.net/images/logo-mow.png,12,0,0
1755312306342,14,HTTP Request (Service-Feedback-4),200,OK,Thread Group 1-5,bin,true,,7236,861,5,5,https://mow.azurewebsites.net/images/logo-mow.png,14,0,0
